evp_s0,evp_R,evp_d,evp_n,evp_eta,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20
1,1,0.01,10,1000.0,0.20000000000000195,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57
1,1,0.01,10,10000.0,0.20000000000000195,2185.6,4125.8,4939.3,4975.5,4976.6,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7
1,1,0.01,15,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.85,10.85,10.85,10.85,10.85,10.85
1,1,0.01,15,100.0,0.20000000000000195,80.173,80.173,80.173,80.173,80.173,80.173,80.173,80.173,80.173,80.173,80.174,80.174,80.174,80.174,80.174,80.174,80.174,80.174,80.174,80.174
1,1,0.01,15,1000.0,0.20000000000000195,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.81,672.82,672.82,672.82,672.82
1,1,0.01,15,10000.0,0.20000000000000195,2185.7,4202.9,6212.5,6702.4,6718.9,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1
1,1,0.01,20,100.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092
1,1,0.01,20,1000.0,0.20000000000000195,781.63,781.63,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64
1,1,0.01,20,10000.0,0.20000000000000195,2185.7,4203.2,6381.8,7711.6,7806.4,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3,7807.3
1,1,0.05,1,1.0,0.0015936254980079684,0.0,0.0,0.0,0.0,0.0,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002
1,1,0.05,1,10.0,0.0023904382470119525,0.0,0.0,0.0,1.0015,1.0015,1.0015,1.0015,1.0015,1.0015,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016
1,1,0.05,1,100.0,0.13147410358565748,1.0153,1.0157,1.016,1.0163,1.0166,1.017,1.0173,1.0176,1.0179,1.0183,1.0186,1.0189,1.0193,1.0196,1.0199,1.0202,1.0206,1.0209,1.0212,1.0216
1,1,0.05,1,1000.0,0.20000000000000195,1.1505,1.151,1.1515,1.152,1.1525,1.153,1.1535,1.154,1.1545,1.155,1.1555,1.156,1.1565,1.157,1.1575,1.158,1.1584,1.159,1.1594,1.1599
1,1,0.05,1,10000.0,0.20000000000000195,2.5005,2.501,2.5015,2.502,2.5025,2.503,2.5035,2.504,2.5045,2.505,2.5055,2.506,2.5065,2.507,2.5075,2.508,2.5084,2.509,2.5094,2.5099
1,1,0.05,5,1.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272
1,1,0.05,5,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,5.3387,5.3387,5.3387,5.3387,5.3387,5.3387,5.3387,5.3387,5.3387,5.4759,5.4759,5.4759,5.4759,5.4759,5.4759
1,1,0.05,5,100.0,0.20000000000000195,21.216,21.216,21.217,21.217,21.218,21.218,21.219,21.219,21.22,21.221,21.221,21.221,21.222,21.222,21.223,21.223,21.224,21.224,21.225,21.225
1,1,0.05,5,1000.0,0.20000000000000195,203.14,203.14,203.14,203.14,203.14,203.14,203.14,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15
1,1,0.05,5,10000.0,0.20000000000000195,1823.2,2018.9,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4
1,1,0.05,10,100.0,0.20000000000000195,50.786,50.787,50.787,50.788,50.788,50.789,50.789,50.79,50.79,50.791,50.791,50.792,50.792,50.793,50.793,50.794,50.794,50.795,50.795,50.796
1,1,0.05,10,1000.0,0.20000000000000195,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.58
1,1,0.05,10,10000.0,0.20000000000000195,2185.6,4125.8,4939.3,4975.5,4976.6,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7
1,1,0.05,15,10.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769
1,1,0.05,15,100.0,0.20000000000000195,80.173,80.173,80.174,80.174,80.175,80.175,80.176,80.176,80.177,80.177,80.178,80.178,80.179,80.179,80.18,80.18,80.181,80.181,80.182,80.182
1,1,0.05,15,1000.0,0.20000000000000195,672.81,672.81,672.81,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82
1,1,0.05,15,10000.0,0.20000000000000195,2185.7,4202.9,6212.5,6702.4,6718.9,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1
1,1,0.05,20,100.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092
1,1,0.05,20,1000.0,0.20000000000000195,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64
1,1,0.05,20,10000.0,0.20000000000000195,2185.7,4203.2,6381.8,7711.6,7806.4,7807.3,7807.3,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4
1,1,0.1,1,1.0,0.0015936254980079684,0.0,0.0,0.0,0.0,0.0,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0003,1.0003,1.0003,1.0003,1.0003
1,1,0.1,1,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016,1.0016,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017
1,1,0.1,1,100.0,0.1505976095617536,1.0157,1.0165,1.0172,1.018,1.0187,1.0195,1.0202,1.021,1.0217,1.0225,1.0233,1.024,1.0248,1.0255,1.0263,1.027,1.0277,1.0285,1.0292,1.0299
1,1,0.1,1,1000.0,0.20000000000000195,1.151,1.152,1.153,1.154,1.155,1.156,1.157,1.1579,1.159,1.16,1.1609,1.162,1.1629,1.1639,1.1649,1.1659,1.1668,1.1678,1.1688,1.1698
1,1,0.1,1,10000.0,0.20000000000000195,2.501,2.502,2.503,2.504,2.505,2.506,2.507,2.5079,2.509,2.51,2.5109,2.512,2.5129,2.5139,2.5149,2.5159,2.5168,2.5178,2.5188,2.5198
1,1,0.1,5,1.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272,3.2272
1,1,0.1,5,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,5.3387,5.3387,5.3387,5.3387,5.3387,5.3387,5.3387,5.3387,5.3387,5.476,5.476,5.476,5.476,5.476,5.476
1,1,0.1,5,100.0,0.20000000000000195,21.217,21.217,21.219,21.219,21.22,21.221,21.222,21.223,21.224,21.225,21.226,21.227,21.228,21.229,21.23,21.231,21.232,21.233,21.234,21.235
1,1,0.1,5,1000.0,0.20000000000000195,203.14,203.14,203.14,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.15,203.16,203.16,203.16,203.16,203.16,203.16
1,1,0.1,5,10000.0,0.20000000000000195,1823.2,2018.9,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4
1,1,0.1,10,100.0,0.20000000000000195,50.787,50.788,50.789,50.79,50.791,50.792,50.793,50.794,50.795,50.796,50.797,50.798,50.799,50.8,50.8,50.801,50.802,50.803,50.804,50.805
1,1,0.1,10,1000.0,0.20000000000000195,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.57,498.58,498.58,498.58,498.58,498.58,498.58,498.58,498.58,498.58,498.58,498.58
1,1,0.1,10,10000.0,0.20000000000000195,2185.6,4125.8,4939.3,4975.5,4976.6,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7
1,1,0.1,15,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.85,10.85,10.85,10.85,10.85,10.85
1,1,0.1,15,100.0,0.20000000000000195,80.173,80.174,80.175,80.176,80.177,80.178,80.179,80.18,80.181,80.182,80.183,80.184,80.185,80.186,80.187,80.188,80.189,80.19,80.191,80.192
1,1,0.1,15,1000.0,0.20000000000000195,672.81,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.82,672.83,672.83,672.83,672.83,672.83,672.83,672.83,672.83,672.83
1,1,0.1,15,10000.0,0.20000000000000195,2185.7,4202.9,6212.5,6702.4,6718.9,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.1,6719.2
1,1,0.1,20,100.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,106.49,106.49,106.49,106.49,106.49,106.49
1,1,0.1,20,1000.0,0.20000000000000195,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.64,781.65,781.65,781.65,781.65,781.65,781.65,781.65,781.65,781.65,781.65
1,1,0.1,20,10000.0,0.20000000000000195,2185.7,4203.2,6381.8,7711.6,7806.4,7807.3,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4
1,1,0.5,1,1.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,1.0005,1.0005,1.0005,1.0005,1.0005,1.0005,1.0005,1.0005,1.0005,1.0009,1.0009,1.0009,1.0009,1.0009,1.0009
1,1,0.5,1,10.0,0.0023904382470119525,0.0,0.0,0.0,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,1.0027,1.0027,1.0027,1.0027
1,1,0.5,1,100.0,0.0653386454183267,1.0166,1.0182,1.0198,1.0214,1.0229,1.0249,1.0265,1.0281,1.0296,1.0312,1.0328,1.0343,1.0359,1.0375,1.039,1.0409,1.0425,1.044,1.0456,1.0471
1,1,0.5,1,1000.0,0.20000000000000195,1.1552,1.1599,1.165,1.1697,1.1748,1.1794,1.1844,1.1891,1.194,1.199,1.2035,1.2084,1.2129,1.2177,1.2222,1.227,1.2314,1.2361,1.2405,1.2452
1,1,0.5,1,10000.0,0.20000000000000195,2.5052,2.5099,2.515,2.5197,2.5248,2.5294,2.5344,2.539,2.544,2.549,2.5535,2.5584,2.5629,2.5677,2.5722,2.5769,2.5814,2.5861,2.5905,2.5952
1,1,0.5,5,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,5.339,5.339,5.339,5.339,5.339,5.339,5.339,5.339,5.339,5.4766,5.4766,5.4766,5.4766,5.4766,5.4766
1,1,0.5,5,100.0,0.20000000000000195,21.221,21.225,21.23,21.235,21.24,21.245,21.25,21.254,21.259,21.264,21.269,21.274,21.278,21.283,21.288,21.292,21.297,21.302,21.306,21.311
1,1,0.5,5,1000.0,0.20000000000000195,203.15,203.15,203.16,203.16,203.17,203.17,203.18,203.18,203.18,203.19,203.19,203.2,203.2,203.21,203.21,203.22,203.22,203.23,203.23,203.24
1,1,0.5,5,10000.0,0.20000000000000195,1823.2,2018.9,2022.4,2022.4,2022.4,2022.4,2022.4,2022.4,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5
1,1,0.5,10,100.0,0.20000000000000195,50.791,50.795,50.801,50.805,50.81,50.815,50.82,50.825,50.83,50.834,50.839,50.844,50.848,50.853,50.858,50.862,50.867,50.872,50.876,50.881
1,1,0.5,10,1000.0,0.20000000000000195,498.57,498.57,498.58,498.58,498.59,498.59,498.6,498.6,498.61,498.61,498.62,498.62,498.63,498.63,498.64,498.64,498.65,498.65,498.65,498.66
1,1,0.5,10,10000.0,0.20000000000000195,2185.6,4125.8,4939.3,4975.5,4976.6,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7
1,1,0.5,15,10.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769,10.769
1,1,0.5,15,100.0,0.20000000000000195,80.177,80.182,80.187,80.192,80.197,80.202,80.207,80.211,80.216,80.221,80.226,80.231,80.235,80.24,80.244,80.249,80.254,80.258,80.263,80.267
1,1,0.5,15,1000.0,0.20000000000000195,672.82,672.82,672.83,672.83,672.84,672.84,672.85,672.85,672.86,672.86,672.87,672.87,672.87,672.88,672.88,672.89,672.89,672.9,672.9,672.91
1,1,0.5,15,10000.0,0.20000000000000195,2185.7,4202.9,6212.5,6702.4,6718.9,6719.1,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2
1,1,0.5,20,100.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092
1,1,0.5,20,1000.0,0.20000000000000195,781.64,781.64,781.65,781.65,781.66,781.66,781.67,781.67,781.68,781.68,781.69,781.69,781.7,781.7,781.71,781.71,781.71,781.72,781.72,781.73
1,1,0.5,20,10000.0,0.20000000000000195,2185.7,4203.2,6381.8,7711.6,7806.4,7807.3,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4
1,1,1,1,1.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,1.0009,1.0009,1.0009,1.0009,1.0009,1.0009,1.0009,1.0009,1.0009,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017
1,1,1,1,10.0,0.0015936254980079684,0.0,0.0,0.0,0.0,0.0,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,1.0031,1.0031,1.0031,1.0031,1.0031
1,1,1,1,100.0,0.008764940239043827,1.0157,1.0157,1.0166,1.0166,1.0174,1.0174,1.0182,1.0182,1.019,1.0198,1.0198,1.0206,1.0206,1.0213,1.0213,1.0221,1.0221,1.0229,1.0229,1.0237
1,1,1,1,1000.0,0.20000000000000195,1.1603,1.1697,1.1798,1.1891,1.199,1.208,1.2177,1.2266,1.2361,1.2455,1.2541,1.2634,1.2718,1.2808,1.2891,1.298,1.3061,1.3148,1.3227,1.3313
1,1,1,1,10000.0,0.20000000000000195,2.5103,2.5197,2.5298,2.539,2.5489,2.558,2.5677,2.5766,2.5861,2.5955,2.6041,2.6133,2.6218,2.6308,2.6391,2.648,2.6561,2.6648,2.6727,2.6813
1,1,1,5,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,5.3394,5.3394,5.3394,5.3394,5.3394,5.3394,5.3394,5.3394,5.3394,5.4774,5.4774,5.4774,5.4774,5.4774,5.4774
1,1,1,5,100.0,0.20000000000000195,21.226,21.235,21.245,21.254,21.264,21.273,21.283,21.292,21.301,21.311,21.32,21.329,21.337,21.346,21.355,21.363,21.371,21.38,21.388,21.397
1,1,1,5,1000.0,0.20000000000000195,203.15,203.16,203.17,203.18,203.19,203.2,203.21,203.22,203.23,203.24,203.24,203.25,203.26,203.27,203.28,203.29,203.3,203.3,203.31,203.32
1,1,1,5,10000.0,0.20000000000000195,1823.2,2018.9,2022.4,2022.4,2022.4,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.5,2022.6,2022.6,2022.6,2022.6
1,1,1,10,100.0,0.20000000000000195,50.796,50.805,50.815,50.824,50.834,50.843,50.853,50.862,50.871,50.881,50.89,50.899,50.907,50.916,50.925,50.933,50.942,50.95,50.958,50.967
1,1,1,10,1000.0,0.20000000000000195,498.57,498.58,498.59,498.6,498.61,498.62,498.63,498.64,498.65,498.66,498.67,498.68,498.68,498.69,498.7,498.71,498.72,498.73,498.74,498.74
1,1,1,10,10000.0,0.20000000000000195,2185.6,4125.8,4939.3,4975.5,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.7,4976.8,4976.8,4976.8,4976.8,4976.8,4976.8,4976.8,4976.8
1,1,1,15,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.852,10.852,10.852,10.852,10.852,10.852
1,1,1,15,100.0,0.20000000000000195,80.182,80.192,80.202,80.211,80.221,80.23,80.24,80.249,80.258,80.268,80.276,80.285,80.294,80.303,80.311,80.32,80.328,80.337,80.345,80.353
1,1,1,15,1000.0,0.20000000000000195,672.82,672.83,672.84,672.85,672.86,672.87,672.88,672.89,672.9,672.91,672.91,672.92,672.93,672.94,672.95,672.96,672.97,672.98,672.98,672.99
1,1,1,15,10000.0,0.20000000000000195,2185.7,4202.9,6212.5,6702.4,6718.9,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.2,6719.3,6719.3,6719.3,6719.3,6719.3
1,1,1,20,100.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092
1,1,1,20,1000.0,0.20000000000000195,781.64,781.65,781.66,781.67,781.68,781.69,781.7,781.71,781.72,781.73,781.74,781.74,781.75,781.76,781.77,781.78,781.79,781.8,781.8,781.81
1,1,1,20,10000.0,0.20000000000000195,2185.7,4203.2,6381.8,7711.6,7806.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.4,7807.5,7807.5,7807.5,7807.5,7807.5,7807.5
1,1,5,1,1.0,0.20000000000000195,1.0506,1.0949,1.1406,1.1807,1.2221,1.2584,1.2959,1.3287,1.3626,1.3948,1.4231,1.4522,1.4778,1.5041,1.5273,1.5512,1.5721,1.5937,1.6127,1.6323
1,1,5,1,10.0,0.20000000000000195,1.052,1.0963,1.142,1.1821,1.2235,1.2598,1.2972,1.3301,1.364,1.3962,1.4244,1.4535,1.4791,1.5055,1.5286,1.5525,1.5735,1.5951,1.6141,1.6336
1,1,5,1,100.0,0.20000000000000195,1.0655,1.1098,1.1555,1.1956,1.237,1.2733,1.3107,1.3436,1.3775,1.4097,1.4379,1.467,1.4926,1.519,1.5421,1.566,1.587,1.6086,1.6276,1.6471
1,1,5,1,1000.0,0.20000000000000195,1.2004,1.2448,1.2905,1.3306,1.3719,1.4083,1.4457,1.4786,1.5125,1.5447,1.5729,1.602,1.6276,1.654,1.6771,1.701,1.722,1.7436,1.7625,1.7821
1,1,5,1,10000.0,0.20000000000000195,2.5504,2.5947,2.6404,2.6805,2.7219,2.7582,2.7957,2.8285,2.8624,2.8946,2.9229,2.952,2.9776,3.004,3.0271,3.051,3.0719,3.0936,3.1125,3.1321
1,1,5,5,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,5.3425,5.3425,5.3425,5.3425,5.3425,5.3425,5.3425,5.3425,5.3425,5.4836,5.4836,5.4836,5.4836,5.4836,5.4836
1,1,5,5,100.0,0.20000000000000195,21.265,21.31,21.355,21.396,21.437,21.473,21.511,21.544,21.578,21.61,21.638,21.667,21.693,21.719,21.742,21.766,21.787,21.809,21.828,21.847
1,1,5,5,1000.0,0.20000000000000195,203.19,203.23,203.28,203.32,203.36,203.4,203.43,203.47,203.5,203.53,203.56,203.59,203.62,203.64,203.67,203.69,203.71,203.73,203.75,203.77
1,1,5,5,10000.0,0.20000000000000195,1823.2,2018.9,2022.5,2022.5,2022.6,2022.6,2022.7,2022.7,2022.7,2022.8,2022.8,2022.8,2022.9,2022.9,2022.9,2022.9,2023.0,2023.0,2023.0,2023.0
1,1,5,10,100.0,0.20000000000000195,50.835,50.879,50.925,50.965,51.007,51.043,51.08,51.113,51.147,51.179,51.208,51.237,51.263,51.289,51.312,51.336,51.357,51.379,51.398,51.417
1,1,5,10,1000.0,0.20000000000000195,498.6,498.65,498.69,498.74,498.78,498.81,498.85,498.89,498.92,498.95,498.98,499.01,499.04,499.06,499.09,499.11,499.13,499.15,499.17,499.19
1,1,5,10,10000.0,0.20000000000000195,2185.6,4125.8,4939.3,4975.6,4976.7,4976.8,4976.9,4976.9,4976.9,4977.0,4977.0,4977.0,4977.1,4977.1,4977.1,4977.1,4977.2,4977.2,4977.2,4977.2
1,1,5,15,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,10.773,10.773,10.773,10.773,10.773,10.773,10.773,10.773,10.773,10.858,10.858,10.858,10.858,10.858,10.858
1,1,5,15,100.0,0.20000000000000195,80.221,80.265,80.311,80.351,80.393,80.429,80.467,80.5,80.534,80.566,80.594,80.623,80.649,80.675,80.699,80.722,80.743,80.765,80.784,80.804
1,1,5,15,1000.0,0.20000000000000195,672.85,672.89,672.94,672.98,673.02,673.06,673.1,673.13,673.16,673.2,673.23,673.26,673.28,673.31,673.33,673.36,673.38,673.4,673.42,673.44
1,1,5,15,10000.0,0.20000000000000195,2185.7,4202.9,6212.5,6702.4,6718.9,6719.2,6719.3,6719.3,6719.4,6719.4,6719.5,6719.5,6719.5,6719.5,6719.6,6719.6,6719.6,6719.7,6719.7,6719.7
1,1,5,20,100.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.094,77.094,77.094,77.094,77.094,77.094,77.094,77.094,77.094,77.094
1,1,5,20,1000.0,0.20000000000000195,781.67,781.71,781.76,781.8,781.84,781.88,781.92,781.95,781.98,782.02,782.05,782.08,782.1,782.13,782.15,782.18,782.2,782.22,782.24,782.26
1,1,5,20,10000.0,0.20000000000000195,2185.7,4203.2,6381.8,7711.6,7806.4,7807.4,7807.5,7807.5,7807.6,7807.6,7807.6,7807.7,7807.7,7807.7,7807.8,7807.8,7807.8,7807.9,7807.9,7807.9
1,1,10,1,1.0,0.20000000000000195,1.0985,1.1807,1.2614,1.3287,1.3948,1.45,1.5041,1.5494,1.5937,1.6337,1.6671,1.6999,1.7273,1.7541,1.7766,1.7986,1.8169,1.835,1.85,1.8648
1,1,10,1,10.0,0.20000000000000195,1.0999,1.1821,1.2627,1.3301,1.3961,1.4513,1.5055,1.5507,1.5951,1.6351,1.6685,1.7012,1.7286,1.7555,1.7779,1.7999,1.8183,1.8363,1.8514,1.8662
1,1,10,1,100.0,0.20000000000000195,1.1134,1.1956,1.2762,1.3436,1.4096,1.4648,1.519,1.5642,1.6086,1.6486,1.682,1.7147,1.7421,1.769,1.7914,1.8134,1.8318,1.8498,1.8649,1.8797
1,1,10,1,1000.0,0.20000000000000195,1.2484,1.3306,1.4112,1.4786,1.5446,1.5998,1.654,1.6992,1.7436,1.7836,1.817,1.8497,1.8771,1.904,1.9264,1.9484,1.9668,1.9848,1.9999,2.0147
1,1,10,1,10000.0,0.20000000000000195,2.5982,2.6805,2.7611,2.8285,2.8946,2.9498,3.0039,3.0491,3.0935,3.1335,3.1669,3.1997,3.2271,3.2539,3.2764,3.2984,3.3168,3.3348,3.3499,3.3646
1,1,10,5,10.0,0.0015936254980079682,0.0,0.0,0.0,0.0,0.0,5.3463,5.3463,5.3463,5.3463,5.3463,5.3463,5.3463,5.3463,5.3463,5.4914,5.4914,5.4914,5.4914,5.4914,5.4914
